duplicated,key,Origin,English (en),Font,Vietnamese (vi),Font,RichText
FALSE,quest_001_0,Log in game,Log in game,Roboto-Regular SDF,Đăng nhập vào game,Roboto-Regular SDF,
FALSE,quest_001_1,Log in game <b>{0}</b> days,Log in game <b>{0}</b> days,Roboto-Regular SDF,Đăng nhập game trong <b>{0}</b> ngày,Roboto-Regular SDF,
FALSE,quest_001_2,Log in game <b>{0}</b> consecutive days,Log in game <b>{0}</b> consecutive days,Roboto-Regular SDF,Đăng nhập vào game <b>{0}</b> ngày liên tiếp,Roboto-Regular SDF,
FALSE,quest_001_1_2,Log in game <b>{0}</b> days and <b>{0}</b> consecutive days,Log in game <b>{0}</b> days and <b>{0}</b> consecutive days,Roboto-Regular SDF,Đăng nhập vào game <b>{0}</b> ngày và có <b>{0}</b> ngày liên tiếp nhau,Roboto-Regular SDF,
FALSE,quest_002_1,Play a stage <b>{0}</b> times,Play a stage <b>{0}</b> times,Roboto-Regular SDF,Chơi một màn chơi <b>{0}</b> lần,Roboto-Regular SDF,
FALSE,quest_002_1_2,Play a stage <b>{0}</b> times with rider <b><color=#023cfa> {1} </color></b>,Play a stage <b>{0}</b> times with rider <b><color=#023cfa> {1} </color></b>,Roboto-Regular SDF,Sử dụng rider <b><color=#023cfa> {1} </color></b> chơi màn chơi bất kỳ <b>{0}</b> lần ,Roboto-Regular SDF,
FALSE,quest_002_1_2_3,Play a stage <b>{0}</b> times with rider <b><color=#023cfa> {1} </color></b> in {2},Play a stage <b>{0}</b> times with rider <b><color=#023cfa> {1} </color></b> in {2},Roboto-Regular SDF,Sử dụng rider <b><color=#023cfa> {1} </color></b> chơi màn chơi bất kỳ <b>{0}</b> lần trong chế độ {2},Roboto-Regular SDF,
FALSE,quest_003_1,Win a stage <b>{0}</b> times,Win a stage <b>{0}</b> times,Roboto-Regular SDF,Thắng một màn chơi bất kỳ <b>{0}</b> lần,Roboto-Regular SDF,
FALSE,quest_003_1_2,Win a stage <b>{0}</b> times with rider <b><color=#023cfa> {1} </color></b>,Win a stage <b>{0}</b> times with rider <b><color=#023cfa> {1} </color></b>,Roboto-Regular SDF,Sử dụng rider <b><color=#023cfa> {1} </color></b> thắng màn chơi bất kỳ <b>{0}</b> lần ,Roboto-Regular SDF,
FALSE,quest_003_1_2_3,Win a stage <b>{0}</b> times with rider <b><color=#023cfa> {1} </color></b> in {2},Win a stage <b>{0}</b> times with rider <b><color=#023cfa> {1} </color></b> in {2},Roboto-Regular SDF,Sử dụng rider <b><color=#023cfa> {1} </color></b> thắng màn chơi bất kỳ <b>{0}</b> lần trong chế độ {2},Roboto-Regular SDF,
FALSE,quest_004_1,Win a stage without losing any HP <b>{0}</b> times,Win a stage without losing any HP <b>{0}</b> times,Roboto-Regular SDF,Thắng một màn chơi mà không bị mất HP nào <b>{0}</b> lần,Roboto-Regular SDF,
FALSE,quest_004_1_2,Win a stage without losing any HP <b>{0}</b> times with rider <b><color=#023cfa> {1} </color></b>,Win a stage without losing any HP <b>{0}</b> times with rider <b><color=#023cfa> {1} </color></b>,Roboto-Regular SDF,Sử dụng rider <b><color=#023cfa> {1} </color></b> thắng một màn chơi mà không bị mất HP nào <b>{0}</b> lần,Roboto-Regular SDF,
FALSE,quest_005_1,Reach stage <b>{0}</b>,Reach stage <b>{0}</b>,Roboto-Regular SDF,Đạt tới màn chơi <b>{0}</b>,Roboto-Regular SDF,
FALSE,quest_006_1,Own <b>{0}</b> rider,Own <b>{0}</b> rider,Roboto-Regular SDF,Sở hữu <b>{0}</b> rider,Roboto-Regular SDF,
FALSE,quest_007_1,Use rider skill <b>{0}</b> times,Use rider skill <b>{0}</b> times,Roboto-Regular SDF,Sử dụng kỹ năng rider <b>{0}</b> lần,Roboto-Regular SDF,
FALSE,quest_007_1_2,Use rider skill <b>{0}</b> times in {1},Use rider skill <b>{0}</b> times in {1},Roboto-Regular SDF,Sử dụng kỹ năng rider <b>{0}</b> lần trong chế độ {1},Roboto-Regular SDF,
FALSE,quest_008_1_2,Trigger entity <b><color=#023cfa> {0} </color></b> <b>{1}</b> times,Trigger entity <b><color=#023cfa> {0} </color></b> <b>{1}</b> times,Roboto-Regular SDF,Đi qua thực thể <b><color=#023cfa> {0} </color></b> <b>{1}</b> lần,Roboto-Regular SDF,
FALSE,quest_009_1_2,Earn <b><color=#023cfa> {0} </color></b> <b>{1}</b>,Earn <b><color=#023cfa> {0} </color></b> <b>{1}</b>,Roboto-Regular SDF,Kiếm <b>{0}</b> <b><color=#023cfa> {1} </color></b> ,Roboto-Regular SDF,
FALSE,quest_010_1_2,Spend <b><color=#023cfa> {1} </color></b> <b>{0}</b>,Spend <b><color=#023cfa> {1} </color></b> <b>{0}</b>,Roboto-Regular SDF,Tiêu <b>{0}</b> <b><color=#023cfa> {1} </color></b> ,Roboto-Regular SDF,
FALSE,quest_011_1,Buy <b>{0}</b> items,Buy <b>{0}</b> items,Roboto-Regular SDF,Mua <b>{0}</b> vật phẩm,Roboto-Regular SDF,
FALSE,quest_011_1_2,Buy <b>{0}</b> items by using <b><color=#023cfa> {1} </color></b>,Buy <b>{0}</b> items by using <b><color=#023cfa> {1} </color></b>,Roboto-Regular SDF,Mua <b>{0}</b> vật phẩm bằng tài nguyên <b><color=#023cfa> {1} </color></b>,Roboto-Regular SDF,
FALSE,quest_012_1,Claim free package in Shop <b>{0}</b> time,Claim free package in Shop <b>{0}</b> time,Roboto-Regular SDF,Nhận gói quà miễn phí trong cửa hàng <b>{0}</b> lần,Roboto-Regular SDF,
FALSE,quest_013_1,Complete <b>{0}</b> daily quest in a day,Complete <b>{0}</b> daily quest in a day,Roboto-Regular SDF,Hoàn thành <b>{0}</b> nhiệm vụ hàng ngày trong ngày,Roboto-Regular SDF,