duplicated,key,Origin,English (en),Font,Vietnamese (vi),Font,RichText
FALSE,story_title_0001,CHAPTER 1: THE DISTANT CITY,CHAPTER 1: THE DISTANT CITY,RobotoSemi-Bold SDF,PHẦN 1: THÀNH PHỐ XA LẠ,RobotoSemi-Bold SDF,
FALSE,story_detail_0001,"This city is not my hometown. It is vast, dazzling, and never stops moving, like a grand play being performed every day. Skyscrapers glitter with neon lights, streets are filled with the hum of luxury cars, and shopping malls are never empty. In the city center, where the wealthy reside, people spend money as if it were their birthright. Lavish parties, designer clothes, and expensive cars flash past as if time itself isn’t fast enough for them.  

But this city has another face. The further you move away from the center, the dimmer the lights become, replaced by dark alleys, aging apartment buildings, and people struggling to get through each day. Dreams here are not for everyone. Those with money live like kings, while those without it cling to meager jobs just to survive. This city blooms for the rich, but for the poor, it only offers exhaustion, sleepless nights, and an endless cycle of worries.  

I live in a forgotten corner of this city, in a small rented room at the end of a narrow alley. It is barely ten square meters, with peeling walls and a tiny window that only shows the blank face of another building. There’s nothing valuable inside: a creaky single bed, an old wooden table I salvaged from a junkyard, and a cheap electric stove where I cook the simplest meals. I leave early in the morning and only return when the city is already asleep. At night, I lie on my stiff mattress, listening to the distant roar of engines, the muffled arguments from the room next door, and sometimes, the soft patter of rain against the tin roof.  

On nights like these, loneliness is impossible to ignore. When everything quiets down, I have nothing to distract myself with—nothing to keep me from the emptiness gnawing inside. I close my eyes, trying to sleep, but faint images flicker in my mind.  

A small house, the place where I grew up. My mother’s gentle voice calling me to dinner. But even back then, I was too young to realize that her smiles didn’t always mean happiness. Then, the image of him—my father. A man who could provide, but who saw household duties as worthless. A man who demanded obedience, who never once appreciated my mother’s sacrifices.  

The memories I wish I could erase come flooding back: shattered dishes on the floor, angry shouting, my mother’s muffled sobs from the kitchen. And the times he raised his hand—without hesitation. I can’t recall how many nights my mother and I huddled together in a corner, waiting for his rage to subside. But no matter how afraid I was, what I hated the most was my own helplessness. I hated being silent. I hated waiting. I hated that I couldn’t do anything to change it.  

Maybe that’s why I left. Not to run away, but to find a life where I could make my own choices. A place where I wouldn’t have to bow my head or live in fear.  

And then, there’s another face. A girl. She appears in my memories like a fractured dream—scattered fragments of a past I can’t fully grasp. A soft smile. A familiar voice. A pair of eyes that once looked at me with pure sincerity but now belong to a world I can no longer reach.  

I don’t know how much longer I can live like this. I don’t know when I’ll finally break free from this endless cycle. But I do know one thing—no matter how difficult life gets, I can’t give up. Even though I don’t yet know what I want, I believe something is waiting for me ahead. A dream still undefined, a path still hidden, and I refuse to let myself be swept away by this city forever.
","This city is not my hometown. It is vast, dazzling, and never stops moving, like a grand play being performed every day. Skyscrapers glitter with neon lights, streets are filled with the hum of luxury cars, and shopping malls are never empty. In the city center, where the wealthy reside, people spend money as if it were their birthright. Lavish parties, designer clothes, and expensive cars flash past as if time itself isn’t fast enough for them.  

But this city has another face. The further you move away from the center, the dimmer the lights become, replaced by dark alleys, aging apartment buildings, and people struggling to get through each day. Dreams here are not for everyone. Those with money live like kings, while those without it cling to meager jobs just to survive. This city blooms for the rich, but for the poor, it only offers exhaustion, sleepless nights, and an endless cycle of worries.  

I live in a forgotten corner of this city, in a small rented room at the end of a narrow alley. It is barely ten square meters, with peeling walls and a tiny window that only shows the blank face of another building. There’s nothing valuable inside: a creaky single bed, an old wooden table I salvaged from a junkyard, and a cheap electric stove where I cook the simplest meals. I leave early in the morning and only return when the city is already asleep. At night, I lie on my stiff mattress, listening to the distant roar of engines, the muffled arguments from the room next door, and sometimes, the soft patter of rain against the tin roof.  

On nights like these, loneliness is impossible to ignore. When everything quiets down, I have nothing to distract myself with—nothing to keep me from the emptiness gnawing inside. I close my eyes, trying to sleep, but faint images flicker in my mind.  

A small house, the place where I grew up. My mother’s gentle voice calling me to dinner. But even back then, I was too young to realize that her smiles didn’t always mean happiness. Then, the image of him—my father. A man who could provide, but who saw household duties as worthless. A man who demanded obedience, who never once appreciated my mother’s sacrifices.  

The memories I wish I could erase come flooding back: shattered dishes on the floor, angry shouting, my mother’s muffled sobs from the kitchen. And the times he raised his hand—without hesitation. I can’t recall how many nights my mother and I huddled together in a corner, waiting for his rage to subside. But no matter how afraid I was, what I hated the most was my own helplessness. I hated being silent. I hated waiting. I hated that I couldn’t do anything to change it.  

Maybe that’s why I left. Not to run away, but to find a life where I could make my own choices. A place where I wouldn’t have to bow my head or live in fear.  

And then, there’s another face. A girl. She appears in my memories like a fractured dream—scattered fragments of a past I can’t fully grasp. A soft smile. A familiar voice. A pair of eyes that once looked at me with pure sincerity but now belong to a world I can no longer reach.  

I don’t know how much longer I can live like this. I don’t know when I’ll finally break free from this endless cycle. But I do know one thing—no matter how difficult life gets, I can’t give up. Even though I don’t yet know what I want, I believe something is waiting for me ahead. A dream still undefined, a path still hidden, and I refuse to let myself be swept away by this city forever.
",Roboto-Regular SDF,"Thành phố này không phải là quê hương của tôi. Nó rộng lớn, rực rỡ và luôn chuyển động không ngừng, như một vở kịch xa hoa được trình diễn mỗi ngày. Những tòa nhà chọc trời lấp lánh ánh đèn, những con đường phủ đầy ánh sáng neon, và những trung tâm thương mại lúc nào cũng đông đúc người ra vào. Ở những khu trung tâm, nơi giới thượng lưu lui tới, người ta tiêu tiền như một cách để khẳng định địa vị. Những bữa tiệc sang trọng, những bộ trang phục hàng hiệu, những chiếc xe hơi bóng loáng vụt qua như thể thời gian chẳng bao giờ đủ để họ chậm lại.  

Nhưng thành phố này cũng có một bộ mặt khác. Càng xa trung tâm, ánh đèn càng nhạt dần, nhường chỗ cho những con hẻm tối tăm, những khu nhà cũ kỹ và những cuộc đời đang chật vật từng ngày. Ở đây, giấc mơ không dành cho tất cả. Ai có tiền thì sống như những ông hoàng, còn ai không có gì thì chỉ có thể bám víu vào những công việc bạc bẽo để tồn tại. Thành phố này rực rỡ với người giàu, nhưng với kẻ nghèo, nó chỉ toàn những giấc ngủ vội vã, những đồng tiền ít ỏi và nỗi lo lắng không bao giờ chấm dứt.  

Tôi sống ở một góc khuất của thành phố này, trong một căn phòng trọ nhỏ nằm cuối một con hẻm sâu. Nó không rộng hơn mười mét vuông, với những bức tường bong tróc và một cửa sổ nhỏ nhìn ra bức tường của tòa nhà đối diện. Đồ đạc trong phòng chẳng có gì đáng giá: một chiếc giường đơn ọp ẹp, một cái bàn gỗ cũ kỹ mà tôi nhặt được từ một bãi rác, và một cái bếp điện rẻ tiền mà tôi dùng để nấu những bữa ăn đơn giản nhất có thể. Ban ngày, tôi rời khỏi đây từ sớm và chỉ trở về khi thành phố đã chìm vào màn đêm. Ban đêm, tôi nằm trên chiếc giường cứng, nghe tiếng động cơ xe xa xa, tiếng cãi vã từ căn phòng bên cạnh, và đôi khi là cả tiếng mưa rơi lộp bộp trên mái tôn.  

Những đêm như thế, sự cô đơn trở nên rõ ràng hơn bao giờ hết. Khi mọi thứ trở nên tĩnh lặng, tôi không còn gì để bận rộn, cũng không còn cách nào để trốn tránh cảm giác trống rỗng đang gặm nhấm mình từ bên trong. Tôi nhắm mắt, cố gắng ngủ, nhưng những hình ảnh mờ nhạt lại hiện lên trong tâm trí.  

Một mái nhà nhỏ, nơi tôi từng lớn lên. Giọng nói của mẹ dịu dàng gọi tôi về ăn cơm. Nhưng lúc đó, tôi còn quá nhỏ để hiểu rằng nụ cười của bà không phải lúc nào cũng thật sự hạnh phúc. Và rồi hình ảnh người đàn ông đó – cha tôi. Một người đàn ông có thể kiếm tiền nhưng lại xem việc chăm sóc gia đình là nghĩa vụ hèn kém. Ông ta gia trưởng, lạnh lùng, và chưa từng coi trọng mẹ tôi dù bà đã hy sinh cả cuộc đời để vun vén cho gia đình này.  

Những ký ức không mong muốn ùa về: tiếng chén đĩa vỡ tan trên sàn nhà, tiếng la hét đầy giận dữ, tiếng khóc nghẹn ngào của mẹ trong góc bếp. Và những lần ông ta vung tay lên, không chút do dự. Tôi không nhớ bao nhiêu lần mẹ con tôi đã ôm nhau, co ro trong góc nhà, chờ cơn thịnh nộ của ông ta nguội đi. Nhưng dù có sợ hãi đến đâu, tôi vẫn ghét nhất cảm giác bất lực của chính mình khi còn nhỏ. Tôi ghét việc phải im lặng, phải chờ đợi. Tôi ghét việc bản thân không thể làm gì để thay đổi.  

Có lẽ, đó chính là lý do tôi rời đi. Không phải để chạy trốn, mà là để tìm một cuộc sống mà tôi có thể tự quyết định. Một nơi mà tôi không phải cúi đầu chịu đựng hay sợ hãi.  

Và rồi có một khuôn mặt khác. Một người con gái. Cô ấy hiện lên trong ký ức như một giấc mơ vụn vỡ – những mảnh ghép lộn xộn của những ngày tháng cũ. Một nụ cười dịu dàng. Một giọng nói quen thuộc. Một đôi mắt từng nhìn tôi bằng tất cả sự chân thành, nhưng giờ đây đã thuộc về một thế giới mà tôi không còn chạm tới được nữa.  

Tôi không biết mình có thể sống như thế này bao lâu nữa. Tôi không biết khi nào mình sẽ đủ sức để bước ra khỏi cái vòng lặp này. Nhưng tôi biết rằng, dù cuộc sống có khó khăn thế nào, tôi vẫn không thể từ bỏ. Bởi dù tôi chưa biết mình muốn gì, tôi vẫn tin rằng có một điều gì đó đang chờ đợi tôi phía trước. Một giấc mơ vẫn chưa thành hình, một con đường vẫn còn ẩn giấu, và tôi không thể để bản thân bị cuốn trôi theo dòng chảy của thành phố này mãi mãi.
",Roboto-Regular SDF,
FALSE,story_title_0002,CHAPTER 2: A FRAGILE LINE,CHAPTER 2: A FRAGILE LINE,RobotoSemi-Bold SDF,PHẦN 2: RANH GIỚI SINH TỬ,RobotoSemi-Bold SDF,
FALSE,story_detail_0002,"That night, the city refused to sleep. The streets were bathed in pale yellow lights, car horns echoed through the hurried crowds. I had just finished my night shift at a small roadside eatery, my hands still stained with the scent of oil, my body heavy after a long day. My old motorbike rattled beneath me as I turned onto the main road, where the shadows of high-rise buildings stretched across the pavement, streaked with neon reflections.
I thought, just fifteen more minutes, and I’d be home—back in my tiny rented room. In my coat pocket, the thin envelope holding my paycheck was still warm. It wasn’t much, just enough to scrape by for another month. But this time, I had a plan. I would buy a new motorbike—not something fancy, just strong and reliable enough so I could start working night shifts as a delivery driver.
I’d been thinking about it for a long time. The rusted bike beneath me was on its last legs. One more breakdown and it wouldn’t run anymore. It couldn’t handle the long routes, the late-night orders, or the freezing rains. But with a better bike, I could do more. Earn more. Save more. Maybe… breathe a little easier.
I had imagined it countless times—riding through the city every night on a new bike, picking up passengers, delivering food, sometimes stopping at a roadside stand for a glass of iced tea, cheap earbuds playing music as I dreamed of the future. I had started to believe that if I just pushed a little harder, things would eventually get better. But then… I remembered nothing after that.
Crash!
A blinding headlight shot out from the corner of the road. I only felt a violent impact, then my entire body was thrown off the bike. My head spun, pain stabbed through me like something had pierced deep into my flesh. I wasn’t sure how I hit the ground—only that the pavement was icy cold, and a warm liquid oozed from somewhere in my body, spreading over the dark asphalt.
Am I… going to die here?
The sounds around me became distorted, fading away as if I were slipping out of this world. My vision blurred, darkness swallowing the edges, until only one voice broke through—deep and hoarse, from an unfamiliar man.
“He’s still breathing…! Call an ambulance!”
When I opened my eyes again, I was no longer on the street. The space around me was blinding white, a sharp antiseptic smell filled my nose. A crushing heaviness weighed down on my body, like I had just emerged from a nightmare that had lasted far too long.
Where am I?
I tried to move, but a jolt of pain shot through my arm and knee, forcing out a weak groan. My eyelids felt like lead, and it took a while for me to realize—this is a hospital. The steady beep-beep of a heart monitor echoed in my ear, a subtle reminder that I was still alive. But beside me, there was no one. No family. No one waiting for me to wake up.
Once again, the weight of loneliness wrapped around me like a cold blanket in the night. I didn’t know how long I had been unconscious. I didn’t know who brought me here. But one thing was certain: “Someone had saved me.” That man… Who was he?","That night, the city refused to sleep. The streets were bathed in pale yellow lights, car horns echoed through the hurried crowds. I had just finished my night shift at a small roadside eatery, my hands still stained with the scent of oil, my body heavy after a long day. My old motorbike rattled beneath me as I turned onto the main road, where the shadows of high-rise buildings stretched across the pavement, streaked with neon reflections.
I thought, just fifteen more minutes, and I’d be home—back in my tiny rented room. In my coat pocket, the thin envelope holding my paycheck was still warm. It wasn’t much, just enough to scrape by for another month. But this time, I had a plan. I would buy a new motorbike—not something fancy, just strong and reliable enough so I could start working night shifts as a delivery driver.
I’d been thinking about it for a long time. The rusted bike beneath me was on its last legs. One more breakdown and it wouldn’t run anymore. It couldn’t handle the long routes, the late-night orders, or the freezing rains. But with a better bike, I could do more. Earn more. Save more. Maybe… breathe a little easier.
I had imagined it countless times—riding through the city every night on a new bike, picking up passengers, delivering food, sometimes stopping at a roadside stand for a glass of iced tea, cheap earbuds playing music as I dreamed of the future. I had started to believe that if I just pushed a little harder, things would eventually get better. But then… I remembered nothing after that.
Crash!
A blinding headlight shot out from the corner of the road. I only felt a violent impact, then my entire body was thrown off the bike. My head spun, pain stabbed through me like something had pierced deep into my flesh. I wasn’t sure how I hit the ground—only that the pavement was icy cold, and a warm liquid oozed from somewhere in my body, spreading over the dark asphalt.
Am I… going to die here?
The sounds around me became distorted, fading away as if I were slipping out of this world. My vision blurred, darkness swallowing the edges, until only one voice broke through—deep and hoarse, from an unfamiliar man.
“He’s still breathing…! Call an ambulance!”
When I opened my eyes again, I was no longer on the street. The space around me was blinding white, a sharp antiseptic smell filled my nose. A crushing heaviness weighed down on my body, like I had just emerged from a nightmare that had lasted far too long.
Where am I?
I tried to move, but a jolt of pain shot through my arm and knee, forcing out a weak groan. My eyelids felt like lead, and it took a while for me to realize—this is a hospital. The steady beep-beep of a heart monitor echoed in my ear, a subtle reminder that I was still alive. But beside me, there was no one. No family. No one waiting for me to wake up.
Once again, the weight of loneliness wrapped around me like a cold blanket in the night. I didn’t know how long I had been unconscious. I didn’t know who brought me here. But one thing was certain: “Someone had saved me.” That man… Who was he?",Roboto-Regular SDF,"Đêm hôm đó, thành phố vẫn không ngủ.
Những con đường ngập trong ánh đèn vàng nhạt, tiếng còi xe vọng lên giữa dòng người hối hả. Tôi vừa kết thúc ca làm đêm tại quán ăn nhỏ ven đường, tay vẫn còn vương mùi dầu mỡ, cơ thể rã rời sau một ngày dài. Chiếc xe máy cũ kỹ của tôi rung lên từng nhịp khi tôi rẽ vào con đường chính, nơi những tòa nhà cao tầng phủ bóng xuống mặt đường loang lổ những vệt sáng neon.
Tôi đã nghĩ chỉ cần chạy thêm mười lăm phút nữa, tôi sẽ về đến căn phòng trọ nhỏ của mình. Trong túi áo khoác, tờ phong bì mỏng chứa tiền lương vừa nhận được vẫn còn ấm. Không nhiều, chỉ đủ cho một tháng sống tằn tiện. Tôi sẽ mua một chiếc xe mới—không cần phải sang, chỉ cần đủ mạnh, đủ bền để tôi có thể bắt đầu công việc chạy xe công nghệ vào ban đêm.
Tôi đã nghĩ đến nó rất lâu rồi. Với chiếc xe cũ rỉ sét đang chạy dưới chân tôi, chỉ cần thêm một trục trặc nữa thôi là nó sẽ không thể đi nổi. Nó không còn đủ sức để theo tôi qua những con đường dài, những đơn hàng muộn hay những cơn mưa lạnh tê người. Nhưng nếu có một chiếc xe tốt hơn, tôi có thể làm nhiều hơn. Có thể tăng thu nhập. Có thể dành dụm. Có thể… sống dễ thở hơn một chút.
Tôi đã mường tượng đến viễn cảnh mỗi đêm chạy dọc thành phố với chiếc xe mới, đón khách, giao đồ ăn, đôi khi dừng lại bên quán ven đường mua một ly trà đá, nghe nhạc qua tai nghe rẻ tiền và nghĩ về tương lai. Tôi đã bắt đầu tin rằng, chỉ cần mình cố thêm một chút nữa, mọi chuyện sẽ ổn.
Nhưng rồi, tôi không còn nhớ gì sau đó.
Xoẹt!
Một ánh đèn pha chói lòa lao tới từ góc khuất của con đường. Tôi chỉ kịp cảm nhận một cú va chạm mạnh mẽ, rồi cả cơ thể bị hất văng ra khỏi xe. Đầu óc tôi quay cuồng, cơn đau nhói lên như có thứ gì đó vừa đâm xuyên qua da thịt. Tôi không chắc mình đã ngã xuống thế nào, chỉ biết rằng mặt đường lạnh ngắt và một thứ chất lỏng ấm nóng chảy ra từ cơ thể tôi, loang dần trên nền nhựa đen.
Chẳng lẽ mình sẽ chết ở đây sao?
Những âm thanh xung quanh trở nên méo mó, xa dần như thể tôi đang trượt khỏi thế giới này. Mắt tôi nhòe đi, tầm nhìn bị nhấn chìm bởi bóng tối, chỉ còn một giọng nói vang lên trong khoảnh khắc cuối cùng—giọng nói trầm và khàn của một người đàn ông lạ mặt.
“Cậu ta còn thở...! Gọi xe cấp cứu ngay!”
Khi tôi mở mắt lần nữa, tôi không còn ở trên đường nữa.
Không gian xung quanh tôi trắng xóa, một mùi thuốc sát trùng nồng nặc xộc vào mũi. Một cảm giác nặng nề đè lên toàn bộ cơ thể, như thể tôi vừa trải qua một cơn ác mộng kéo dài.
Tôi đang ở đâu?
Tôi cố cử động, nhưng cơn đau dữ dội từ cánh tay và đầu gối khiến tôi chỉ có thể rên khẽ. Mí mắt nặng trĩu, và phải mất một lúc tôi mới nhận ra—đây là bệnh viện.
Tiếng ""tít tít"" đều đặn của máy đo nhịp tim vang lên bên tai tôi, như nhắc nhở rằng tôi vẫn còn sống. Nhưng bên cạnh tôi, chẳng có ai cả.
Không có người thân. Không có ai chờ đợi tôi tỉnh lại.
Cảm giác cô đơn trong đêm lại một lần nữa bao trùm lấy tôi. Tôi không biết mình đã hôn mê bao lâu, cũng không biết ai đã đưa tôi vào đây. Nhưng một điều chắc chắn—có ai đó đã cứu tôi.
Người đàn ông đó… là ai?",Roboto-Regular SDF,
FALSE,story_title_0003,CHAPTER 3: THE DISTANT CITY,CHAPTER 3: THE DISTANT CITY,RobotoSemi-Bold SDF,PHẦN 3: TỈNH GIẤC,RobotoSemi-Bold SDF,
